"","p_value","mean_exp_in_R","mean_exp_in_NR","per_in_R","per_in_NR","log2_R_NR_"
"TPI1",1.93099281546748e-37,4.7272962420693,6.42719600093002,0.504636408003904,0.672634271099744,-0.443174192975389
"HAVCR2",2.65811569295878e-37,2.35157637872133,3.77126017205301,0.273792093704246,0.438502673796791,-0.681418491296984
"COX5A",5.14111994349514e-37,2.11255246461689,3.64369216461288,0.233284529038555,0.392466868170193,-0.786413908222901
"SLAMF7",6.09592949873035e-37,2.63708150317228,3.87539874447803,0.335285505124451,0.50383631713555,-0.555402598004663
"BCL2L11",8.2976929931758e-37,1.6065056124939,2.78139502441293,0.223523670082967,0.380609160660312,-0.791882635308662
"SH2D2A",9.13059458926771e-37,3.40398731088336,4.62851894908161,0.489995119570522,0.657289002557545,-0.443324969269133
"ARPC3",9.80008876153308e-37,5.05357247437775,6.61981167170426,0.559297218155198,0.720995117414555,-0.389486554776212
"SHFM1",1.07012029869953e-36,1.83028794533919,3.0336479888398,0.233772571986335,0.392234364101372,-0.728983056665912
"CCL4L2",1.20424439192743e-36,2.48472913616398,3.52590095326668,0.361151781356759,0.529876772843525,-0.504903358082114
"ACTN4",1.23849265322238e-36,2.43065397755002,3.59776563589863,0.335285505124451,0.502906300860265,-0.565756681077677
"GALM",1.2631936178168e-36,2.00378233284529,3.23539409439665,0.264519277696437,0.42664496628691,-0.691215653849168
"IFNG",1.26884075279133e-36,2.40495851634944,3.89112066961172,0.272327964860908,0.435247616833295,-0.694173712336831
"CXCR6",1.47232979796754e-36,2.03388482186432,3.42958149267612,0.217667154709614,0.373401534526854,-0.753794554729509
"SUMO2",2.36421944761465e-35,4.41431429965837,5.89400604510579,0.518789653489507,0.681004417577308,-0.417059186824487
"PSMB3",2.43894919909619e-35,2.48918008784773,3.87377586607766,0.275744265495364,0.435712624970937,-0.638069872474244
"PSMA2",2.76320335368984e-35,2.5377354807223,3.85934201348524,0.320644216691069,0.484073471285748,-0.604813202057753
"CCR7",5.88721597371975e-35,1.86653977550024,0.788246919321088,0.205466081015129,0.0913740990467333,1.24364672084672
"KLRD1",7.83477447080257e-35,2.82749633967789,4.25065798651476,0.315275744265495,0.477330853289933,-0.588161025940112
"UBB",9.73918470614946e-35,7.8696046852123,9.05205998604976,0.752074182528062,0.877237851662404,-0.201954978584024
"GIMAP4",1.10891290154329e-34,3.19217179111762,4.55239246686817,0.35236700829673,0.515926528714252,-0.512086645097749
